id_order,date,id_product,id_store,qtd
60019,2024-11-01,PROD-030,,4
42953,2024-10-10,PROD-001,LJ-02,5
99353,2024-10-01,PROD-049,LJ-05,3
94012,2024-06-23,PROD-008,,5
66985,,PROD-030,LJ-01,5
44522,2024-09-13,PROD-049,LJ-03,2
76542,2024-02-24,PROD-041,LJ-05,3
93748,2024-09-16,PROD-039,LJ-04,3
30032,2024-07-10,PROD-049,LJ-03,3
80697,2024-09-28,PROD-001,LJ-10,5
52487,2024-09-07,PROD-002,LJ-02,4
57576,2024-06-06,PROD-016,LJ-01,3
41571,2024-10-17,PROD-006,LJ-02,100
73699,2024-02-05,PROD-049,LJ-09,5
26483,2024-03-06,PROD-043,,2
82063,2024-03-25,PROD-017,LJ-09,4
89507,,PROD-014,LJ-09,100
36365,31/12/2024,PROD-020,LJ-07,100
98039,2024-11-28,PROD-024,LJ-08,2
77839,2024-08-19,PROD-008,LJ-04,4
39451,2024-02-02,PROD-022,LJ-01,5
87110,2024-10-10,PROD-015,LJ-10,1
38864,2024-01-04,PROD-005,LJ-01,4
40007,2024-02-04,PROD-003,,2
19287,2024-09-20,PROD-016,LJ-05,100
97684,05/09/2024,PROD-014,LJ-09,5
27342,2024-10-19,PROD-037,LJ-08,4
41850,2024-08-30,PROD-027,LJ-04,1
22363,2024-02-19,PROD-043,LJ-07,1
56438,2024-08-04,PROD-027,,3
17100,2024-12-10,PROD-042,LJ-02,3
17944,2024-07-25,PROD-047,LJ-06,2
24322,,PROD-013,,4
80292,2024-08-17,PROD-009,LJ-07,4
34050,2024-05-22,PROD-030,LJ-04,100
19880,2024-08-14,PROD-036,LJ-02,100
16630,2024-11-29,PROD-035,,100
22224,2024-05-01,PROD-011,LJ-07,3
73653,2024-09-03,PROD-014,LJ-07,4
17685,25/03/2024,PROD-025,,4
61173,2024-05-15,PROD-030,LJ-05,1
65444,2024-12-22,PROD-047,LJ-09,3
96752,,PROD-010,LJ-04,5
48890,2024-04-21,PROD-004,LJ-10,3
81066,2024-02-01,PROD-048,LJ-06,5
17492,2024-01-26,PROD-038,LJ-08,1
75909,28/09/2024,PROD-011,LJ-01,2
76562,,PROD-012,,4
87992,2024-02-04,PROD-044,LJ-04,1
62923,02/03/2024,PROD-037,LJ-04,4
85880,31/10/2024,PROD-003,LJ-10,100
20745,2024-08-02,PROD-043,LJ-10,2
84085,24/09/2024,PROD-021,LJ-05,2
36772,2024-12-08,PROD-046,LJ-06,1
41285,2024-05-15,PROD-026,LJ-03,2
98039,26/11/2024,PROD-020,LJ-08,5
51441,2024-02-07,PROD-001,LJ-08,2
91416,,PROD-007,LJ-02,4
80468,2024-04-19,PROD-033,LJ-05,4
27361,2024-06-27,PROD-005,LJ-04,4
58434,25/05/2024,PROD-011,LJ-08,4
81200,2024-12-26,PROD-020,LJ-10,5
95717,2024-09-27,PROD-001,LJ-09,3
49240,2024-12-05,PROD-007,LJ-03,100
44664,2024-02-29,PROD-007,LJ-09,-1
30374,19/05/2024,PROD-019,LJ-10,4
37607,24/06/2024,PROD-014,LJ-05,2
76244,2024-09-07,PROD-017,LJ-01,4
22097,2024-11-20,PROD-028,LJ-05,2
15778,02/01/2024,PROD-022,LJ-03,100
